,class,text
0,notsarc,"If that's true, then Freedom of Speech is doomed. Harassment is subjective. Now I can claim that a book I don't like is harassing me, and it will be banned."
1,notsarc,Neener neener - is it time to go in from the playground yet?
2,notsarc,"Just like the plastic gun fear, the armour piercing bullet fear was built upon misinformation and myth."
3,notsarc,So geology is a religion because we weren't here to see rock X formed?
4,notsarc,Well done Monty. Mark that up as your first ever 100% honest and accurate post here.
5,notsarc,"But the whole process was done in the courts using the process set up by the constitution. Where the laws are not clear on an issue, such as in Massachusetts, it is the courts job to decide. The courts are a check on the injustice towards minorities by the majority."
6,notsarc,so we would penalize financially those who want to have kids?
7,notsarc,"So, IOW, you are saying that those of us who are intelligent enough to realize that your non existent imaginary god doesn't exist have a chemical imbalance? Wow, that's quite a stretch even for you Archie baby."
8,notsarc,"your probably referring to the mexican basin crater. mass extinction doesn't prove evolution. the flood as described in the Bible is an example of mass extinction. besides, in order for the asteroid theory to work, the asteroid would have to create an almost global tidal wave that would effectively kill the animals by drowning. also similiar to the effects of the flood."
9,notsarc,"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?"
10,notsarc,So will they be in front of or behind a leaf?
11,notsarc,Really? I don't think you know what you are talking about. Please provide evidence to back your claim. Thanks.
12,notsarc,"If that is a human being, then is my kidney a human being too?"
13,notsarc,That would be more likely than finding evidence for abiogenesis.
14,notsarc,What is incredible is that this is probably the most enlightened response I can expect from this crowd.
15,notsarc,"Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary."
16,notsarc,You were crowing a bit. What I don't understand is why. How could you possibly be pleased by some strangers religious views. Would you have been pleased if he switched to liking broccoli? (Or disliking as the case may be)
17,notsarc,Oh joy another drive by with absolutely no proof or evidence.
18,notsarc,It is clear that the profetallifers wish to make the pregnant woman a slave to her fetus.
19,notsarc,"Well if your claim is that you shouldn't push a gun owner's buttons and make them mad, then why are you arguing with me when that's what you're claiming is the wrong thing to do?"
20,notsarc,"Ok...many many people have been killed in Africa because of the policies of the countries in the EU, South America, Asia, and so on....this hypocrisy annoys me."
21,notsarc,And I see you still flip back and fourth from being an atheist to not being an atheist.
22,notsarc,"What quaint illogic. Only people who marry can get divorced, so a reduction in people marrying has no effect on rising divorce rates. If anything, a rising divorce rate among fewer marriages points to an even higher divorce rate than ""normal""."
23,notsarc,"I agree, for the most part. Once you get to tanks and helicopters though? Too big, too easy a target for a tyrannical regime. Do you see the Iraqis and Afghanis using tanks and helicopters? I'm sure they could get them if they really wanted, but they're useless against a government that invests in satellite technology and bombers. Better to stick with the rocket launchers and mines."
24,notsarc,"Really, so you are totally knowable? Show me the site that has the Mach User-Manual where I can know everything about you."
25,notsarc,"I don't see anyone without healthcare. None of my friends, none of my family, none of my neighbors. ZILCH. NADA. NAUGHT. CIPHER.   Now I don't go wandering around the inner cities looking for half-crazy winos and crack addicts either, so maybe that's why."
26,notsarc,"It seems that the high priest of Global Warming is so unconcerned about its reality that In the past year, Gore's home burned through 213,210 kilowatt-hours (kWh) of electricity, enough to power 232 average American households for a month.   http://news.newsmax.com/?SKIDYNyQ-GW...mo_code=6539-1"
27,notsarc,Then why can't you explain an unreflective fertility and abortion rates between 1972-1979 here in America or how the Polish fertility rate never increased after the 1993 referendum that criminalized abortion?   Prove to me when criminalizing abortion has ever decreased it's demand. So far you haven'tonly provided empty rhetoric. The pro-life movement thoroughly brainwashes it's supporters to believe such jibberish.
28,notsarc,Proof? All I can think to say is that a mind is a terrible thing to waste.
29,notsarc,"False. This is not a valid definition of atheism. Atheism is the lack of theism (the belief in gods). Certainly, if I said ""there isn't a tiger in my bathroom"", I wouldn't need to have a camera in there to see. It's called being reasonable."
30,notsarc,O they don't make space anymore. They'll just put him in a cell with pot growers and crack addicts. He'll be lucky if he gets a spot on the floor to sleep on.
31,notsarc,"I think the FSM threw these guys a bone. They cherrypicked which taxa would give them the most statistically significant results. If they were to expand the method to include more and more taxa, they'd see the Noodly Appendage of the Flying Spaghetti Monster. Ramen."
32,notsarc,"I take it you have no understanding of science, much less the scientific method?"
33,notsarc,"Well maybe on the 4473 they could put a little box to check if you are a straw purchaser,maybe a psychic in the back room or ask them politely if they are straw purchasers."
34,notsarc,"Just another example of using a verse meant for personal use and applying it to wars. Sorry, just doesn't work that way."
