,class,text
0,notsarc,"['thats', 'true', 'freedom', 'speech', 'doomed', 'harassment', 'is', 'subjective', 'claim', 'book', 'i', 'dont', 'like', 'is', 'harassing', 'banned']"
1,notsarc,"['neener', 'neener', '-', 'time', 'go', 'playground', 'yet']"
2,notsarc,"['like', 'plastic', 'gun', 'fear', 'the', 'armour', 'piercing', 'bullet', 'fear', 'built', 'upon', 'misinformation', 'myth']"
3,notsarc,"['geology', 'religion', 'werent', 'see', 'rock', 'x', 'formed']"
4,notsarc,"['well', 'done', 'monty', 'mark', 'first', 'ever', '100', 'honest', 'accurate', 'post']"
5,notsarc,"['whole', 'process', 'done', 'the', 'courts', 'using', 'the', 'process', 'set', 'the', 'constitution', 'the', 'laws', 'clear', 'issue', 'in', 'massachusetts', 'the', 'courts', 'job', 'decide', 'the', 'courts', 'are', 'check', 'on', 'the', 'injustice', 'towards', 'minorities', 'by', 'the', 'majority']"
6,notsarc,"['would', 'penalize', 'financially', 'want', 'kids']"
7,notsarc,"['iow', 'saying', 'us', 'are', 'intelligent', 'enough', 'realize', 'that', 'non', 'existent', 'imaginary', 'god', 'doesnt', 'exist', 'chemical', 'imbalance', 'wow', 'thats', 'quite', 'a', 'stretch', 'even', 'you', 'archie', 'baby']"
8,notsarc,"['probably', 'referring', 'mexican', 'basin', 'crater', 'mass', 'extinction', 'doesnt', 'prove', 'evolution', 'the', 'flood', 'described', 'the', 'bible', 'example', 'mass', 'extinction', 'besides', 'in', 'order', 'the', 'asteroid', 'theory', 'to', 'work', 'the', 'asteroid', 'would', 'to', 'create', 'an', 'almost', 'global', 'tidal', 'wave', 'would', 'effectively', 'kill', 'the', 'animals', 'drowning', 'also', 'similiar', 'to', 'the', 'effects', 'of', 'the', 'flood']"
9,notsarc,"['matters', 'atheism', 'tell', 'science', 'discovers', 'something', 'seems', 'agree', '150', 'year', 'old', 'writings', 'of', 'darwin', 'the', 'writings', 'of', 'darwin', 'disregarded', 'that', 'type', 'of', 'history', 'trumpeted', 'to', 'the', 'masses']"
10,notsarc,"['front', 'behind', 'leaf']"
11,notsarc,"['really', 'dont', 'think', 'know', 'you', 'talking', 'please', 'provide', 'evidence', 'back', 'claim', 'thanks']"
12,notsarc,"['human', 'is', 'kidney', 'a', 'human', 'being']"
13,notsarc,"['would', 'likely', 'finding', 'evidence', 'abiogenesis']"
14,notsarc,"['incredible', 'is', 'is', 'probably', 'enlightened', 'response', 'expect', 'this', 'crowd']"
15,notsarc,"['wonder', '``', 'euthanization', ""''"", 'never', 'heard', 'neither', 'dictionary']"
16,notsarc,"['crowing', 'bit', 'dont', 'understand', 'could', 'you', 'possibly', 'pleased', 'strangers', 'religious', 'views', 'would', 'you', 'pleased', 'switched', 'liking', 'broccoli', 'disliking', 'case', 'may', 'be']"
17,notsarc,"['oh', 'joy', 'another', 'drive', 'absolutely', 'proof', 'evidence']"
18,notsarc,"['clear', 'profetallifers', 'wish', 'make', 'the', 'pregnant', 'woman', 'slave', 'to', 'fetus']"
19,notsarc,"['well', 'claim', 'shouldnt', 'push', 'gun', 'owners', 'buttons', 'make', 'mad', 'you', 'arguing', 'thats', 'youre', 'claiming', 'is', 'wrong', 'thing']"
20,notsarc,"['okmany', 'many', 'people', 'killed', 'africa', 'policies', 'of', 'the', 'countries', 'in', 'the', 'eu', 'south', 'america', 'asia', 'onthis', 'hypocrisy', 'annoys']"
21,notsarc,"['see', 'still', 'flip', 'back', 'and', 'fourth', 'atheist', 'being', 'an', 'atheist']"
22,notsarc,"['quaint', 'illogic', 'people', 'marry', 'get', 'divorced', 'reduction', 'people', 'marrying', 'effect', 'rising', 'divorce', 'rates', 'anything', 'a', 'rising', 'divorce', 'rate', 'among', 'fewer', 'marriages', 'points', 'even', 'higher', 'divorce', 'rate', '``', 'normal', ""''""]"
23,notsarc,"['agree', 'part', 'get', 'tanks', 'helicopters', 'though', 'big', 'too', 'easy', 'target', 'for', 'a', 'tyrannical', 'regime', 'you', 'see', 'the', 'iraqis', 'and', 'afghanis', 'using', 'tanks', 'and', 'helicopters', 'im', 'sure', 'could', 'get', 'they', 'really', 'wanted', 'theyre', 'useless', 'a', 'government', 'invests', 'satellite', 'technology', 'and', 'bombers', 'better', 'to', 'stick', 'the', 'rocket', 'launchers', 'and', 'mines']"
24,notsarc,"['really', 'totally', 'knowable', 'show', 'site', 'the', 'mach', 'user-manual', 'know', 'everything', 'you']"
25,notsarc,"['dont', 'see', 'anyone', 'without', 'healthcare', 'none', 'friends', 'none', 'of', 'my', 'family', 'none', 'of', 'my', 'neighbors', 'zilch', 'nada', 'naught', 'cipher', 'i', 'dont', 'go', 'wandering', 'around', 'inner', 'cities', 'looking', 'half-crazy', 'winos', 'crack', 'addicts', 'either', 'maybe', 'thats']"
26,notsarc,"['seems', 'high', 'priest', 'global', 'warming', 'unconcerned', 'reality', 'that', 'the', 'past', 'year', 'gores', 'home', 'burned', '213210', 'kilowatt-hours', 'kwh', 'of', 'electricity', 'enough', 'power', '232', 'average', 'american', 'households', 'month', 'http', ':', 'newsnewsmaxcomskidynyq-gwmocode6539-1']"
27,notsarc,"['cant', 'explain', 'unreflective', 'fertility', 'abortion', 'rates', '1972-1979', 'america', 'polish', 'fertility', 'rate', 'never', 'increased', 'the', '1993', 'referendum', 'criminalized', 'abortion', 'prove', 'criminalizing', 'abortion', 'ever', 'decreased', 'demand', 'far', 'you', 'haventonly', 'provided', 'empty', 'rhetoric', 'the', 'pro-life', 'movement', 'thoroughly', 'brainwashes', 'its', 'supporters', 'to', 'believe', 'jibberish']"
28,notsarc,"['proof', 'think', 'say', 'mind', 'is', 'a', 'terrible', 'thing', 'to', 'waste']"
29,notsarc,"['false', 'valid', 'definition', 'atheism', 'atheism', 'is', 'lack', 'of', 'theism', 'the', 'belief', 'gods', 'certainly', 'said', '``', 'isnt', 'a', 'tiger', 'in', 'bathroom', ""''"", 'i', 'wouldnt', 'need', 'a', 'camera', 'in', 'there', 'to', 'see', 'called', 'reasonable']"
30,notsarc,"['dont', 'make', 'space', 'anymore', 'theyll', 'put', 'cell', 'pot', 'growers', 'crack', 'addicts', 'hell', 'lucky', 'gets', 'a', 'spot', 'floor', 'sleep', 'on']"
31,notsarc,"['think', 'fsm', 'threw', 'guys', 'bone', 'cherrypicked', 'taxa', 'would', 'give', 'the', 'statistically', 'significant', 'results', 'they', 'expand', 'the', 'method', 'to', 'include', 'more', 'taxa', 'theyd', 'see', 'the', 'noodly', 'appendage', 'the', 'flying', 'spaghetti', 'monster', 'ramen']"
32,notsarc,"['take', 'understanding', 'science', 'much', 'less', 'scientific', 'method']"
33,notsarc,"['well', 'maybe', '4473', 'could', 'put', 'little', 'box', 'check', 'a', 'straw', 'purchasermaybe', 'a', 'psychic', 'the', 'back', 'room', 'ask', 'politely', 'if', 'they', 'are', 'straw', 'purchasers']"
34,notsarc,"['another', 'example', 'using', 'verse', 'meant', 'personal', 'use', 'applying', 'wars', 'sorry', 'just', 'doesnt', 'work', 'way']"
35,notsarc,"['think', 'doesnt', 'really', 'know', 'he', 'means', 'i', 'dont', 'think', 'heathens', 'follow', 'particular', 'set', 'beliefs', 'though', 'i', 'dont', 'know', 'many', 'as', 'i', 'pagans']"
36,notsarc,"['means', 'burn', 'books', 'er', 'mean', 'take', 'those', 'nativity', 'scenes']"
37,notsarc,"['``', 'supposedly', ""''"", 'ran', 'threads', 'you', 'one', 'making', 'assertions', 'you', 'dont', 'back', 'you', 'are', 'the', 'one', 'unwilling', 'ie', 'unable', 'show', 'that', 'arctic', 'foxes', 'adapt', 'to', 'phoenix', 'summer', 'you', 'are', 'the', 'one', 'keeps', 'ignoring', 'henceforth', 'refer', 'to', 'the', 'chihuahua', 'challenge', 'somebody', 'claiming', 'to', 'clearly', 'right', 'so', 'obviously', 'vindicated', 'the', 'evidence', 'youve', 'done', 'nothing', 'to', 'show', 'and', 'youve', 'done', 'everything', 'to', 'run', 'from', 'it']"
38,notsarc,"['oh', 'theyre', 'trained', 'deal', 'irate', 'exhusbands', 'stabbing', 'wives', 'dousing', 'gasoline', 'in', 'broad', 'daylight', 'in', 'middle', 'busy', 'parking', 'lot', 'theyre', 'trained', 'to', 'deal', 'with', 'specific', 'kind', 'of', 'every', 'single', 'day']"
39,notsarc,"['lot', 'blacks', 'killed', 'hangings', 'rope', 'vendors']"
